task id session trial condition trialxcondition perceived_liking perceived_intensity EMG
hedonic 09 two 35 neutral 11 50.000000 12.711864 0.000224
hedonic 09 two 36 neutral 12 50.000000 12.711864 0.000251
hedonic 09 two 37 chocolate 13 55.932203 65.254237 0.000238
hedonic 09 two 38 chocolate 14 77.118644 67.796610 0.000277
hedonic 09 two 39 chocolate 15 69.491525 67.796610 0.000215
hedonic 09 two 40 empty 13 45.762712 20.338983 0.000240
hedonic 09 two 41 empty 14 50.000000 12.711864 0.000203
hedonic 09 two 42 empty 15 50.000000 12.711864 0.000249
hedonic 09 two 43 neutral 13 50.000000 12.711864 0.000248
hedonic 09 two 44 neutral 14 42.372881 22.881356 0.000257
hedonic 09 two 45 neutral 15 43.220339 21.186441 0.000206
hedonic 09 two 46 neutral 16 44.067797 12.711864 0.000271
hedonic 09 two 47 neutral 17 50.000000 12.711864 0.000214
hedonic 09 two 48 neutral 18 46.610169 50.000000 0.000259
hedonic 09 two 49 chocolate 16 83.050847 68.644068 0.000194
hedonic 09 two 50 chocolate 17 50.000000 12.711864 0.000232
hedonic 09 two 51 chocolate 18 85.593220 81.355932 0.000238
hedonic 09 two 52 empty 16 48.305085 12.711864 0.000268
