task id session trial condition trialxcondition n_grips reward
PIT 13 two 23 CSplus 5 17 0
PIT 13 two 24 CSplus 6 28 0
PIT 13 two 25 CSminus 4 14 0
PIT 13 two 26 CSminus 5 13 0
PIT 13 two 27 CSminus 6 14 0
PIT 13 two 28 Baseline 7 8 0
PIT 13 two 29 Baseline 8 17 0
PIT 13 two 30 Baseline 9 10 0
PIT 13 two 31 CSplus 7 30 0
PIT 13 two 32 CSplus 8 13 0
PIT 13 two 33 CSplus 9 8 0
PIT 13 two 34 CSminus 7 3 0
PIT 13 two 35 CSminus 8 7 0
PIT 13 two 36 CSminus 9 12 0
PIT 13 two 37 CSminus 10 5 0
PIT 13 two 38 CSminus 11 16 0
PIT 13 two 39 CSminus 12 24 0
PIT 13 two 40 Baseline 10 4 0
PIT 13 two 41 Baseline 11 5 0
PIT 13 two 42 Baseline 12 11 0
PIT 13 two 43 CSplus 10 7 0
PIT 13 two 44 CSplus 11 36 0
PIT 13 two 45 CSplus 12 13 0
PIT 13 two 46 CSplus 13 12 0
PIT 13 two 47 CSplus 14 32 0
PIT 13 two 48 CSplus 15 5 0
PIT 13 two 49 CSminus 13 2 0
PIT 13 two 50 CSminus 14 2 0
PIT 13 two 51 CSminus 15 7 0
PIT 13 two 52 Baseline 13 4 0
PIT 13 two 53 Baseline 14 2 0
PIT 13 two 54 Baseline 15 0 0
Reminder 14 two 1 None 1 9 1
Reminder 14 two 2 None 2 15 2
Reminder 14 two 3 None 3 14 2
Partial_Extinction 14 two 4 None 4 13 1
Partial_Extinction 14 two 5 None 5 12 1
Partial_Extinction 14 two 6 None 6 11 1
Partial_Extinction 14 two 7 None 7 13 0
Partial_Extinction 14 two 8 None 8 12 1
